SKU,Categories,Stock,Price,Name
019000083449,Candy,1,349,Life Savers / Gummies:Gummies Wild Berries 12/
019000085016,Candy,1,299,Life Savers:Hard 5 Flavors 12/
019000085030,Candy,1,249,Life Savers:Pep-O-Mint
019000085085,Candy,1,299,Life Savers:Hard Wild Cherry
019000170491,Candy,1,349,Life Savers / Gummies:Gummies Sours 12/
019200025225,Household,1,399,Lysol Max Coverage Toilet Bowl Cleaner
019200753524,Household,1,399,Lysol:Lemon Breeze
019200769389,Household,1,399,Lysol Neutra Air Sanitizing Spray
019200769402,Household,1,399,Lysol Neutra Air Citrus Zest
019200786263,Household,1,599,Lysol:Lemon Breeze
019200786317,Household,1,399,Lysol Clean & Fresh Lavender
019200789141,Household,1,799,Lysol Power White & Shine w/Bleach All Purpose Cleaner
019200793292,Household,1,999,Crisp Linen Scent Disinfectant Spray
019200804257,Household,1,549,Lysol Neutra Air Sanitizing Spray Energizing Citrus Zest Scent
019200850209,Misc.,1,329,Lysol Power & Free Toilet Bowl Cleaner
019320000430,Snacks,1,179,Nabisco Chips Ahoy!:Mini Chocolate Chip
019320015441,Snacks,1,100,Nabisco Lorna Doone Cookies
019600044000,Frozen Food,1,199,Celeste:Zesty 4 Cheese
019600045007,Grocery Non-Taxable,1,229,Celeste:Vegetable
019600045700,Frozen Food,1,199,Celeste:Sausage
019600045809,Dairy,1,199,Celeste:Deluxe
019600046103,Frozen Food,1,199,Celeste:Pepperoni
019600046202,Frozen Food,1,199,Celeste:Sausage & Pepperoni
019600046301,Frozen Food,1,229,Celeste:Original
019600050308,Frozen Food,1,229,Celeste:Original 4 Cheese
019600057703,Grocery Non-Taxable,1,399,Aunt Jemima:Homestyle 6 Slices
019600058908,Grocery Non-Taxable,1,399,Aunt Jemima:Cinnamon 6 Ct
019600062103,Grocery Non-Taxable,1,299,Aunt Jemima Buttermilk Waffle
019600068204,Grocery Non-Taxable,1,299,Aunt Jemima Pancakes
019600069102,Grocery Non-Taxable,1,299,Aunt Jermina HomeStyle P:ancakes
019722366905,Grocery Non-Taxable,1,150,Ground pork
019800001162,Household,1,299,Drano Liquid Drain Cleaner
019800001179,Household,1,549,Max Gel Professional Strength Clog Remover
019800001230,Household,1,339,Windex Glass Cleaner Original
019800701956,Household,1,549,Windex: Original w/ Ammonia
019900338014,Grocery Non-Taxable,1,139,Corn Starch
020000001807,Grocery Non-Taxable,1,259,Green Giant:Broccoli and cheese sauce
020501003379,Snacks,1,100,Butterball Honey Cured Turkey Stick
020501110039,Snacks,1,100,Trail's Best Beef And Cheese Sticks
020539302208,Grocery Non-Taxable,1,799,Saloio Olive Oil
020539608331,Grocery Non-Taxable,1,449,"Gonsalves:Rice, Enriched Long Grain, Parboiled"
020539767007,General Food,1,249,Gonsalves Paprika
020539862207,Grocery Non-Taxable,1,499,Gonsalves:White Hominy
020685000171,Grocery Non-Taxable,1,50,Dffg
020685000188,Grocery Non-Taxable,1,50,Fff
020685000287,Grocery Non-Taxable,1,379,Cape Cod:Sea Salt and Vinegar
020685000744,Snacks,1,200,Cape Cod Kettle Cooked Potato Chips
020685001376,Snacks,1,239,Cape Cod Kettle Cooked Potato Chips Original
